,Django Package Name,edX Owned?,Python 3.9,Django 3.0,Django 3.1,Django 3.2,Last Checked,Ticket URL,Notes,openedxstats
95,django-ratelimit-backend,,-,-,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/40,Not maintained any more and edx will deprecate it.,
96,django-celery-beat,,-,2.0.0,2.1.0,2.2.1,"Jul 28, 2021",,,
97,django-ratelimit,,-,3.0.0,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/41,,
99,jsonfield,,-,3.0.0,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/42,,
101,django-elasticsearch-debug-toolbar,,-,-,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/43,not much information available.,
102,drf-extensions,,-,-,0.7.0,0.7.1,"Jun 21, 2021",,,
103,django-storages,,1.11,1.8,1.1,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/44,,
104,django-appconf,,-,1.0.4,-,-,"Jul 8, 2021",https://github.com/edx/upgrades/issues/45,last commint in 2020,
105,django-storage-swift,,-,-,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/46,last release was in 2018,
108,jasmine-core,,-,-,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/47,testing framework for JavaScript.,
109,algoliasearch-django,,-,1.7.3,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/48,course-discovery is using this and it seems blocker now.,
111,django-js-asset,,1.2.2,1.2.2,1.2.2,1.2.2,"Jun 21, 2021",,,
112,drf-dynamic-fields,,-,-,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/49,No plans to upgrade this package. Last commit in 2019,
113,django-bootstrap3,,14.2.0,13.0.0,14.3.0,15.0.0,"Jun 21, 2021",,,15.0.0
115,django-webtest,,-,1.9.5,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/50,,
116,pinax-announcements,,-,4.0.0,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/51,,
117,django-nine,,-,0.2.3,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/52,,
119,django-compressor,,3,2.4,3,3,"Jun 21, 2021",,,
120,django-webpack-loader,,1.0.0,1.0.0,1.0.0,1.0.0,"Jun 21, 2021",,,
122,django-elasticsearch-dsl,,-,7.1.1,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/53,,
124,django-datetime-widget,,-,-,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/54,replaced with django-datetime-widget2,
125,pytest-django-ordering,,-,-,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/55,,
126,authlib,,master,-,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/56,Python library but running tests againsts flask and django. I am not able to find the exact versions.,
127,django-haystack,,-,3.0b1,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/57,,
128,dry-rest-permissions,,-,-,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/58,2018 last commit.,
129,django-multi-email-field,,-,0.6.0,,0.6.2,"Jun 21, 2021",,,
130,django-celery-results,,-,2.0.0,2.0.0,2.1.0,"Jun 14, 2021",,,
131,django-sortedm2m,,-,3.0.0,3.0.1,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/59,,
132,django-stdimage,,5.2.0,5.2.0,5.2.0,5.3.0,"Jun 21, 2021",,,
133,drf-nested-routers,,0.93.0.dev0,0.92,0.93.0.dev0,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/60,,
135,django-pdb,,-,-,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/61,2018 last commmit,
136,whitenoise,,-,5.0.1,5.2.0,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/62,,5.2.0
137,django-soapbox,,-,1.6,-,-,"Jun 21, 2021",https://github.com/edx/upgrades/issues/63,,
