repo_name,makefile.exists,makefile.has_upgrade_target,openedx_yaml.is_parsable,openedx_yaml.oep-18,openedx_yaml.oep-2,openedx_yaml.oep-30,openedx_yaml.oep-7,openedx_yaml.owner,repo_structure..travis.yml,repo_structure.Makefile,repo_structure.README.rst,repo_structure.has_python_files,repo_structure.openedx.yaml,repo_structure.pylintrc,repo_structure.requirements.base.in,repo_structure.requirements.pip-tools.in,repo_structure.requirements_folder,repo_structure.tox.ini,requires.django,requires.nose,requires.pytest,tox_ini.has_section.testenv,tox_ini.has_section.testenv:quality,tox_ini.has_section.tox
devstack_repo_health.yaml,True,True,True,False,True,False,True,jmbowman,,,,,,,,,,,,,,False,False,False
edx-platform_repo_health.yaml,True,True,True,True,True,False,True,nasthagiri,False,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False
